# generated with code/opcodes.py
1:0x0 : ...
1:0x1 : 01                   	.byte 0x1
6:0x2d : 2d                   	.byte 0x2d
6:0x2e : 2e                   	cs
6:0x2f : 2f                   	(bad)
6:0x30 : 30 30                	xor    %dh,(%rax)
6:0x31 : 31 31                	xor    %esi,(%rcx)
6:0x32 : 32 32                	xor    (%rdx),%dh
6:0x33 : 33 33                	xor    (%rbx),%esi
6:0x34 : 34 34                	xor    $0x34,%al
6:0x35 : 35                   	.byte 0x35
6:0x36 : 36                   	ss
6:0x37 : 37                   	(bad)
6:0x38 : 38 38                	cmp    %bh,(%rax)
6:0x39 : 39 39                	cmp    %edi,(%rcx)
6:0x3a : 3a 3a                	cmp    (%rdx),%bh
6:0x3b : 3b 3b                	cmp    (%rbx),%edi
6:0x3c : 3c 3c                	cmp    $0x3c,%al
6:0x3d : 3d                   	.byte 0x3d
6:0x3e : 3e                   	ds
6:0x3f : 3f                   	(bad)
6:0x40 : 40                   	rex
6:0x41 : 41                   	rex.B
6:0x42 : 42                   	rex.X
6:0x43 : 43                   	rex.XB
6:0x44 : 44                   	rex.R
6:0x45 : 45                   	rex.RB
6:0x46 : 46                   	rex.RX
6:0x47 : 47                   	rex.RXB
6:0x48 : 48                   	rex.W
6:0x49 : 49                   	rex.WB
6:0x4a : 4a                   	rex.WX
6:0x4b : 4b                   	rex.WXB
6:0x4c : 4c                   	rex.WR
6:0x4d : 4d                   	rex.WRB
6:0x4e : 4e                   	rex.WRX
6:0x4f : 4f                   	rex.WRXB
6:0x50 : 50                   	push   %rax
6:0x51 : 51                   	push   %rcx
6:0x52 : 52                   	push   %rdx
6:0x53 : 53                   	push   %rbx
6:0x54 : 54                   	push   %rsp
6:0x55 : 55                   	push   %rbp
6:0x56 : 56                   	push   %rsi
6:0x57 : 57                   	push   %rdi
6:0x58 : 58                   	pop    %rax
6:0x59 : 59                   	pop    %rcx
6:0x5a : 5a                   	pop    %rdx
6:0x5b : 5b                   	pop    %rbx
6:0x5c : 5c                   	pop    %rsp
6:0x5d : 5d                   	pop    %rbp
6:0x5e : 5e                   	pop    %rsi
6:0x5f : 5f                   	pop    %rdi
6:0x60 : 60                   	(bad)
6:0x61 : 61                   	(bad)
6:0x62 : 62                   	.byte 0x62
6:0x63 : 63 63 63             	movslq 0x63(%rbx),%esp
6:0x64 : 64                   	fs
6:0x65 : 65                   	gs
6:0x66 : 66                   	data16
6:0x67 : 67                   	addr32
6:0x68 : 68                   	.byte 0x68
6:0x69 : 69                   	.byte 0x69
6:0x6a : 6a 6a                	pushq  $0x6a
6:0x6b : 6b                   	.byte 0x6b
6:0x6c : 6c                   	insb   (%dx),%es
6:0x6d : 6d                   	insl   (%dx),%es
6:0x6e : 6e                   	outsb  %ds
6:0x6f : 6f                   	outsl  %ds
6:0x70 : 70 70                	jo     4000f6 <_start+0x76>
6:0x71 : 71 71                	jno    4000f7 <_start+0x77>
6:0x72 : 72 72                	jb     4000f8 <_start+0x78>
6:0x73 : 73 73                	jae    4000f9 <_start+0x79>
6:0x74 : 74 74                	je     4000fa <_start+0x7a>
6:0x75 : 75 75                	jne    4000fb <_start+0x7b>
6:0x76 : 76 76                	jbe    4000fc <_start+0x7c>
6:0x77 : 77 77                	ja     4000fd <_start+0x7d>
6:0x78 : 78 78                	js     4000fe <_start+0x7e>
6:0x79 : 79 79                	jns    4000ff <_start+0x7f>
6:0x7a : 7a 7a                	jp     400100 <_start+0x80>
6:0x7b : 7b 7b                	jnp    400101 <_start+0x81>
6:0x7c : 7c 7c                	jl     400102 <_start+0x82>
6:0x7d : 7d 7d                	jge    400103 <_start+0x83>
6:0x7e : 7e 7e                	jle    400104 <_start+0x84>
6:0x7f : 7f 7f                	jg     400105 <_start+0x85>
6:0x80 : 80                   	.byte 0x80
6:0x81 : 81                   	.byte 0x81
6:0x82 : 82                   	.byte 0x82
6:0x83 : 83                   	.byte 0x83
6:0x84 : 84                   	.byte 0x84
6:0x85 : 85 85 85 85 85 85    	test   %eax,-0x7a7a7a7b(%rbp)
6:0x86 : 86 86 86 86 86 86    	xchg   %al,-0x7979797a(%rsi)
6:0x87 : 87 87 87 87 87 87    	xchg   %eax,-0x78787879(%rdi)
6:0x88 : 88 88 88 88 88 88    	mov    %cl,-0x77777778(%rax)
6:0x89 : 89 89 89 89 89 89    	mov    %ecx,-0x76767677(%rcx)
6:0x8a : 8a 8a 8a 8a 8a 8a    	mov    -0x75757576(%rdx),%cl
6:0x8b : 8b 8b 8b 8b 8b 8b    	mov    -0x74747475(%rbx),%ecx
6:0x8c : 8c                   	.byte 0x8c
6:0x8d : 8d 8d 8d 8d 8d 8d    	lea    -0x72727273(%rbp),%ecx
6:0x8e : 8e 8e 8e 8e 8e 8e    	mov    -0x71717172(%rsi),%cs
6:0x8f : 8f                   	.byte 0x8f
6:0x90 : 90                   	nop
6:0x91 : 91                   	xchg   %eax,%ecx
6:0x92 : 92                   	xchg   %eax,%edx
6:0x93 : 93                   	xchg   %eax,%ebx
6:0x94 : 94                   	xchg   %eax,%esp
6:0x95 : 95                   	xchg   %eax,%ebp
6:0x96 : 96                   	xchg   %eax,%esi
6:0x97 : 97                   	xchg   %eax,%edi
6:0x98 : 98                   	cwtl
6:0x99 : 99                   	cltd
6:0x9a : 9a                   	(bad)
6:0x9b : 9b                   	fwait
6:0x9c : 9c                   	pushfq
6:0x9d : 9d                   	popfq
6:0x9e : 9e                   	sahf
6:0x9f : 9f                   	lahf
6:0xa0 : a0                   	.byte 0xa0
6:0xa1 : a1                   	.byte 0xa1
6:0xa2 : a2                   	.byte 0xa2
6:0xa3 : a3                   	.byte 0xa3
6:0xa4 : a4                   	movsb  %ds
6:0xa5 : a5                   	movsl  %ds
6:0xa6 : a6                   	cmpsb  %es
6:0xa7 : a7                   	cmpsl  %es
6:0xa8 : a8 a8                	test   $0xa8,%al
6:0xa9 : a9                   	.byte 0xa9
6:0xaa : aa                   	stos   %al,%es
6:0xab : ab                   	stos   %eax,%es
6:0xac : ac                   	lods   %ds
6:0xad : ad                   	lods   %ds
6:0xae : ae                   	scas   %es
6:0xaf : af                   	scas   %es
6:0xb0 : b0 b0                	mov    $0xb0,%al
6:0xb1 : b1 b1                	mov    $0xb1,%cl
6:0xb2 : b2 b2                	mov    $0xb2,%dl
6:0xb3 : b3 b3                	mov    $0xb3,%bl
6:0xb4 : b4 b4                	mov    $0xb4,%ah
6:0xb5 : b5 b5                	mov    $0xb5,%ch
6:0xb6 : b6 b6                	mov    $0xb6,%dh
6:0xb7 : b7 b7                	mov    $0xb7,%bh
6:0xb8 : b8                   	.byte 0xb8
6:0xb9 : b9                   	.byte 0xb9
6:0xba : ba                   	.byte 0xba
6:0xbb : bb                   	.byte 0xbb
6:0xbc : bc                   	.byte 0xbc
6:0xbd : bd                   	.byte 0xbd
6:0xbe : be                   	.byte 0xbe
6:0xbf : bf                   	.byte 0xbf
6:0xc0 : c0 c0 c0             	rol    $0xc0,%al
6:0xc1 : c1 c1 c1             	rol    $0xc1,%ecx
6:0xc2 : c2 c2 c2             	retq   $0xc2c2
6:0xc3 : c3                   	retq
6:0xc4 : c4                   	.byte 0xc4
6:0xc5 : c5                   	.byte 0xc5
6:0xc6 : c6 c6 c6             	mov    $0xc6,%dh
6:0xc7 : c7 c7 c7 c7 c7 c7    	mov    $0xc7c7c7c7,%edi
6:0xc8 : c8                   	.byte 0xc8
6:0xc9 : c9                   	leaveq
6:0xca : ca ca ca             	lret   $0xcaca
6:0xcb : cb                   	lret
6:0xcc : cc                   	int3
6:0xcd : cd cd                	int    $0xcd
6:0xce : ce                   	(bad)
6:0xcf : cf                   	iret
6:0xd0 : d0 d0                	rcl    %al
6:0xd1 : d1 d1                	rcl    %ecx
6:0xd2 : d2 d2                	rcl    %cl,%dl
6:0xd3 : d3 d3                	rcl    %cl,%ebx
6:0xd4 : d4                   	(bad)
6:0xd5 : d5                   	(bad)
6:0xd6 : d6                   	(bad)
6:0xd7 : d7                   	xlat   %ds
6:0xd8 : d8 d8                	fcomp  %st(0)
6:0xd9 : d9 d9                	(bad)
6:0xda : da da                	fcmovu %st(2),%st
6:0xdb : db db                	fcmovnu %st(3),%st
6:0xdc : dc dc                	(bad)
6:0xdd : dd dd                	fstp   %st(5)
6:0xde : de de                	(bad)
6:0xdf : df df                	(bad)
6:0xe0 : e0 e0                	loopne 400066 <_start-0x1a>
6:0xe1 : e1 e1                	loope  400067 <_start-0x19>
6:0xe2 : e2 e2                	loop   400068 <_start-0x18>
6:0xe3 : e3 e3                	jrcxz  400069 <_start-0x17>
6:0xe4 : e4 e4                	in     $0xe4,%al
6:0xe5 : e5 e5                	in     $0xe5,%eax
6:0xe6 : e6 e6                	out    %al,$0xe6
6:0xe7 : e7 e7                	out    %eax,$0xe7
6:0xe8 : e8                   	.byte 0xe8
6:0xe9 : e9                   	.byte 0xe9
6:0xea : ea                   	(bad)
6:0xeb : eb eb                	jmp    400071 <_start-0xf>
6:0xec : ec                   	in     (%dx),%al
6:0xed : ed                   	in     (%dx),%eax
6:0xee : ee                   	out    %al,(%dx)
6:0xef : ef                   	out    %eax,(%dx)
6:0xf0 : f0                   	lock
6:0xf1 : f1                   	icebp
6:0xf2 : f2                   	repnz
6:0xf3 : f3                   	repz
6:0xf4 : f4                   	hlt
6:0xf5 : f5                   	cmc
6:0xf6 : f6 f6                	div    %dh
6:0xf7 : f7 f7                	div    %edi
6:0xf8 : f8                   	clc
6:0xf9 : f9                   	stc
6:0xfa : fa                   	cli
6:0xfb : fb                   	sti
6:0xfc : fc                   	cld
6:0xfd : fd                   	std
6:0xfe : fe                   	.byte 0xfe
6:0xff : ff                   	.byte 0xff
7:0x0 : ...
7:0x1 : 01                   	.byte 0x1
7:0x2 : 02                   	.byte 0x2
7:0x3 : 03                   	.byte 0x3
7:0x4 : 04                   	.byte 0x4
7:0x5 : 05                   	.byte 0x5
7:0x6 : 06                   	(bad)
7:0x7 : 07                   	(bad)
7:0x8 : 08                   	.byte 0x8
7:0x9 : 09                   	.byte 0x9
7:0xa : 0a                   	.byte 0xa
7:0xb : 0b                   	.byte 0xb
7:0xc : 0c                   	.byte 0xc
7:0xd : 0d                   	.byte 0xd
7:0xe : 0e                   	(bad)
7:0xf : 
7:0x10 : 10                   	.byte 0x10
7:0x11 : 11                   	.byte 0x11
7:0x12 : 12                   	.byte 0x12
7:0x13 : 13                   	.byte 0x13
7:0x14 : 14                   	.byte 0x14
7:0x15 : 15                   	.byte 0x15
7:0x16 : 16                   	(bad)
7:0x17 : 17                   	(bad)
7:0x18 : 18                   	.byte 0x18
7:0x19 : 19                   	.byte 0x19
7:0x1a : 1a                   	.byte 0x1a
7:0x1b : 1b                   	.byte 0x1b
7:0x1c : 1c                   	.byte 0x1c
7:0x1d : 1d                   	.byte 0x1d
7:0x1e : 1e                   	(bad)
7:0x1f : 1f                   	(bad)
7:0x20 : 20                   	.byte 0x20
7:0x21 : 21                   	.byte 0x21
7:0x22 : 22                   	.byte 0x22
7:0x23 : 23                   	.byte 0x23
7:0x24 : 24                   	.byte 0x24
7:0x25 : 25                   	.byte 0x25
7:0x26 : 26                   	es
7:0x27 : 27                   	(bad)
7:0x28 : 28                   	.byte 0x28
7:0x29 : 29                   	.byte 0x29
7:0x2a : 2a                   	.byte 0x2a
7:0x2b : 2b                   	.byte 0x2b
7:0x2c : 2c                   	.byte 0x2c
7:0x2d : 2d                   	.byte 0x2d
7:0x2e : 2e                   	cs
7:0x2f : 2f                   	(bad)
7:0x30 : 30                   	.byte 0x30
7:0x31 : 31                   	.byte 0x31
7:0x32 : 32                   	.byte 0x32
7:0x33 : 33                   	.byte 0x33
7:0x34 : 34                   	.byte 0x34
7:0x35 : 35                   	.byte 0x35
7:0x36 : 36                   	ss
7:0x37 : 37                   	(bad)
7:0x38 : 38                   	.byte 0x38
7:0x39 : 39                   	.byte 0x39
7:0x3a : 3a                   	.byte 0x3a
7:0x3b : 3b                   	.byte 0x3b
7:0x3c : 3c                   	.byte 0x3c
7:0x3d : 3d                   	.byte 0x3d
7:0x3e : 3e                   	ds
7:0x3f : 3f                   	(bad)
7:0x40 : 40                   	rex
7:0x41 : 41                   	rex.B
7:0x42 : 42                   	rex.X
7:0x43 : 43                   	rex.XB
7:0x44 : 44                   	rex.R
7:0x45 : 45                   	rex.RB
7:0x46 : 46                   	rex.RX
7:0x47 : 47                   	rex.RXB
7:0x48 : 48                   	rex.W
7:0x49 : 49                   	rex.WB
7:0x4a : 4a                   	rex.WX
7:0x4b : 4b                   	rex.WXB
7:0x4c : 4c                   	rex.WR
7:0x4d : 4d                   	rex.WRB
7:0x4e : 4e                   	rex.WRX
7:0x4f : 4f                   	rex.WRXB
7:0x50 : 50                   	push   %rax
7:0x51 : 51                   	push   %rcx
7:0x52 : 52                   	push   %rdx
7:0x53 : 53                   	push   %rbx
7:0x54 : 54                   	push   %rsp
7:0x55 : 55                   	push   %rbp
7:0x56 : 56                   	push   %rsi
7:0x57 : 57                   	push   %rdi
7:0x58 : 58                   	pop    %rax
7:0x59 : 59                   	pop    %rcx
7:0x5a : 5a                   	pop    %rdx
7:0x5b : 5b                   	pop    %rbx
7:0x5c : 5c                   	pop    %rsp
7:0x5d : 5d                   	pop    %rbp
7:0x5e : 5e                   	pop    %rsi
7:0x5f : 5f                   	pop    %rdi
7:0x60 : 60                   	(bad)
7:0x61 : 61                   	(bad)
7:0x62 : 62                   	.byte 0x62
7:0x63 : 63                   	.byte 0x63
7:0x64 : 64                   	fs
7:0x65 : 65                   	gs
7:0x66 : 66                   	data16
7:0x67 : 67                   	addr32
7:0x68 : 68                   	.byte 0x68
7:0x69 : 69 69 69 69 69 69 69 	imul   $0x69696969,0x69(%rcx),%ebp
7:0x6a : 6a                   	.byte 0x6a
7:0x6b : 6b                   	.byte 0x6b
7:0x6c : 6c                   	insb   (%dx),%es
7:0x6d : 6d                   	insl   (%dx),%es
7:0x6e : 6e                   	outsb  %ds
7:0x6f : 6f                   	outsl  %ds
7:0x70 : 70                   	.byte 0x70
7:0x71 : 71                   	.byte 0x71
7:0x72 : 72                   	.byte 0x72
7:0x73 : 73                   	.byte 0x73
7:0x74 : 74                   	.byte 0x74
7:0x75 : 75                   	.byte 0x75
7:0x76 : 76                   	.byte 0x76
7:0x77 : 77                   	.byte 0x77
7:0x78 : 78                   	.byte 0x78
7:0x79 : 79                   	.byte 0x79
7:0x7a : 7a                   	.byte 0x7a
7:0x7b : 7b                   	.byte 0x7b
7:0x7c : 7c                   	.byte 0x7c
7:0x7d : 7d                   	.byte 0x7d
7:0x7e : 7e                   	.byte 0x7e
7:0x7f : 7f                   	.byte 0x7f
7:0x80 : 80 80 80 80 80 80 80 	addb   $0x80,-0x7f7f7f80(%rax)
7:0x81 : 81                   	.byte 0x81
7:0x82 : 82                   	.byte 0x82
7:0x83 : 83 83 83 83 83 83 83 	addl   $0xffffff83,-0x7c7c7c7d(%rbx)
7:0x84 : 84 84 84 84 84 84 84 	test   %al,-0x7b7b7b7c(%rsp,%rax,4)
7:0x85 : 85                   	.byte 0x85
7:0x86 : 86                   	.byte 0x86
7:0x87 : 87                   	.byte 0x87
7:0x88 : 88                   	.byte 0x88
7:0x89 : 89                   	.byte 0x89
7:0x8a : 8a                   	.byte 0x8a
7:0x8b : 8b                   	.byte 0x8b
7:0x8c : 8c 8c 8c 8c 8c 8c 8c 	mov    %cs,-0x73737374(%rsp,%rcx,4)
7:0x8d : 8d                   	.byte 0x8d
7:0x8e : 8e                   	.byte 0x8e
7:0x8f : 8f                   	.byte 0x8f
7:0x90 : 90                   	nop
7:0x91 : 91                   	xchg   %eax,%ecx
7:0x92 : 92                   	xchg   %eax,%edx
7:0x93 : 93                   	xchg   %eax,%ebx
7:0x94 : 94                   	xchg   %eax,%esp
7:0x95 : 95                   	xchg   %eax,%ebp
7:0x96 : 96                   	xchg   %eax,%esi
7:0x97 : 97                   	xchg   %eax,%edi
7:0x98 : 98                   	cwtl
7:0x99 : 99                   	cltd
7:0x9a : 9a                   	(bad)
7:0x9b : 9b                   	fwait
7:0x9c : 9c                   	pushfq
7:0x9d : 9d                   	popfq
7:0x9e : 9e                   	sahf
7:0x9f : 9f                   	lahf
7:0xa0 : a0                   	.byte 0xa0
7:0xa1 : a1                   	.byte 0xa1
7:0xa2 : a2                   	.byte 0xa2
7:0xa3 : a3                   	.byte 0xa3
7:0xa4 : a4                   	movsb  %ds
7:0xa5 : a5                   	movsl  %ds
7:0xa6 : a6                   	cmpsb  %es
7:0xa7 : a7                   	cmpsl  %es
7:0xa8 : a8                   	.byte 0xa8
7:0xa9 : a9                   	.byte 0xa9
7:0xaa : aa                   	stos   %al,%es
7:0xab : ab                   	stos   %eax,%es
7:0xac : ac                   	lods   %ds
7:0xad : ad                   	lods   %ds
7:0xae : ae                   	scas   %es
7:0xaf : af                   	scas   %es
7:0xb0 : b0                   	.byte 0xb0
7:0xb1 : b1                   	.byte 0xb1
7:0xb2 : b2                   	.byte 0xb2
7:0xb3 : b3                   	.byte 0xb3
7:0xb4 : b4                   	.byte 0xb4
7:0xb5 : b5                   	.byte 0xb5
7:0xb6 : b6                   	.byte 0xb6
7:0xb7 : b7                   	.byte 0xb7
7:0xb8 : b8                   	.byte 0xb8
7:0xb9 : b9                   	.byte 0xb9
7:0xba : ba                   	.byte 0xba
7:0xbb : bb                   	.byte 0xbb
7:0xbc : bc                   	.byte 0xbc
7:0xbd : bd                   	.byte 0xbd
7:0xbe : be                   	.byte 0xbe
7:0xbf : bf                   	.byte 0xbf
7:0xc0 : c0                   	.byte 0xc0
7:0xc1 : c1                   	.byte 0xc1
7:0xc2 : c2                   	.byte 0xc2
7:0xc3 : c3                   	retq
7:0xc4 : c4                   	.byte 0xc4
7:0xc5 : c5                   	.byte 0xc5
7:0xc6 : c6                   	.byte 0xc6
7:0xc7 : c7                   	.byte 0xc7
7:0xc8 : c8                   	.byte 0xc8
7:0xc9 : c9                   	leaveq
7:0xca : ca                   	.byte 0xca
7:0xcb : cb                   	lret
7:0xcc : cc                   	int3
7:0xcd : cd                   	.byte 0xcd
7:0xce : ce                   	(bad)
7:0xcf : cf                   	iret
7:0xd0 : d0                   	.byte 0xd0
7:0xd1 : d1                   	.byte 0xd1
7:0xd2 : d2                   	.byte 0xd2
7:0xd3 : d3                   	.byte 0xd3
7:0xd4 : d4                   	(bad)
7:0xd5 : d5                   	(bad)
7:0xd6 : d6                   	(bad)
7:0xd7 : d7                   	xlat   %ds
7:0xd8 : d8                   	.byte 0xd8
7:0xd9 : d9                   	.byte 0xd9
7:0xda : da                   	.byte 0xda
7:0xdb : db                   	.byte 0xdb
7:0xdc : dc                   	.byte 0xdc
7:0xdd : dd                   	.byte 0xdd
7:0xde : de                   	.byte 0xde
7:0xdf : df                   	.byte 0xdf
7:0xe0 : e0                   	.byte 0xe0
7:0xe1 : e1                   	.byte 0xe1
7:0xe2 : e2                   	.byte 0xe2
7:0xe3 : e3                   	.byte 0xe3
7:0xe4 : e4                   	.byte 0xe4
7:0xe5 : e5                   	.byte 0xe5
7:0xe6 : e6                   	.byte 0xe6
7:0xe7 : e7                   	.byte 0xe7
7:0xe8 : e8                   	.byte 0xe8
7:0xe9 : e9                   	.byte 0xe9
7:0xea : ea                   	(bad)
7:0xeb : eb                   	.byte 0xeb
7:0xec : ec                   	in     (%dx),%al
7:0xed : ed                   	in     (%dx),%eax
7:0xee : ee                   	out    %al,(%dx)
7:0xef : ef                   	out    %eax,(%dx)
7:0xf0 : f0                   	lock
7:0xf1 : f1                   	icebp
7:0xf2 : f2                   	repnz
7:0xf3 : f3                   	repz
7:0xf4 : f4                   	hlt
7:0xf5 : f5                   	cmc
7:0xf6 : f6                   	.byte 0xf6
7:0xf7 : f7                   	.byte 0xf7
7:0xf8 : f8                   	clc
7:0xf9 : f9                   	stc
7:0xfa : fa                   	cli
7:0xfb : fb                   	sti
7:0xfc : fc                   	cld
7:0xfd : fd                   	std
7:0xfe : fe                   	.byte 0xfe
7:0xff : ff                   	.byte 0xff
8:0x0 : ...
8:0x1 : 01 01                	add    %eax,(%rcx)
8:0x2 : 02 02                	add    (%rdx),%al
8:0x3 : 03 03                	add    (%rbx),%eax
8:0x4 : 04 04                	add    $0x4,%al
8:0x5 : 05                   	.byte 0x5
8:0x6 : 06                   	(bad)
8:0x7 : 07                   	(bad)
8:0x8 : 08 08                	or     %cl,(%rax)
8:0x9 : 09 09                	or     %ecx,(%rcx)
8:0xa : 0a 0a                	or     (%rdx),%cl
8:0xb : 0b 0b                	or     (%rbx),%ecx
8:0xc : 0c 0c                	or     $0xc,%al
8:0xd : 0d                   	.byte 0xd
8:0xe : 0e                   	(bad)
8:0xf : 
8:0x10 : 10 10                	adc    %dl,(%rax)
8:0x11 : 11 11                	adc    %edx,(%rcx)
8:0x12 : 12 12                	adc    (%rdx),%dl
8:0x13 : 13 13                	adc    (%rbx),%edx
8:0x14 : 14 14                	adc    $0x14,%al
8:0x15 : 15                   	.byte 0x15
8:0x16 : 16                   	(bad)
8:0x17 : 17                   	(bad)
8:0x18 : 18 18                	sbb    %bl,(%rax)
8:0x19 : 19 19                	sbb    %ebx,(%rcx)
8:0x1a : 1a 1a                	sbb    (%rdx),%bl
8:0x1b : 1b 1b                	sbb    (%rbx),%ebx
8:0x1c : 1c 1c                	sbb    $0x1c,%al
8:0x1d : 1d                   	.byte 0x1d
8:0x1e : 1e                   	(bad)
8:0x1f : 1f                   	(bad)
8:0x20 : 20 20                	and    %ah,(%rax)
8:0x21 : 21 21                	and    %esp,(%rcx)
8:0x22 : 22 22                	and    (%rdx),%ah
8:0x23 : 23 23                	and    (%rbx),%esp
8:0x24 : 24 24                	and    $0x24,%al
8:0x25 : 25                   	.byte 0x25
8:0x26 : 26                   	es
8:0x27 : 27                   	(bad)
8:0x28 : 28 28                	sub    %ch,(%rax)
8:0x29 : 29 29                	sub    %ebp,(%rcx)
8:0x2a : 2a 2a                	sub    (%rdx),%ch
8:0x2b : 2b 2b                	sub    (%rbx),%ebp
8:0x2c : 2c 2c                	sub    $0x2c,%al
8:0x2d : 2d                   	.byte 0x2d
8:0x2e : 2e                   	cs
8:0x2f : 2f                   	(bad)
8:0x30 : 30 30                	xor    %dh,(%rax)
8:0x31 : 31 31                	xor    %esi,(%rcx)
8:0x32 : 32 32                	xor    (%rdx),%dh
8:0x33 : 33 33                	xor    (%rbx),%esi
8:0x34 : 34 34                	xor    $0x34,%al
8:0x35 : 35                   	.byte 0x35
8:0x36 : 36                   	ss
8:0x37 : 37                   	(bad)
8:0x38 : 38 38                	cmp    %bh,(%rax)
8:0x39 : 39 39                	cmp    %edi,(%rcx)
8:0x3a : 3a 3a                	cmp    (%rdx),%bh
8:0x3b : 3b 3b                	cmp    (%rbx),%edi
8:0x3c : 3c 3c                	cmp    $0x3c,%al
8:0x3d : 3d                   	.byte 0x3d
8:0x3e : 3e                   	ds
8:0x3f : 3f                   	(bad)
8:0x40 : 40                   	rex
8:0x41 : 41                   	rex.B
8:0x42 : 42                   	rex.X
8:0x43 : 43                   	rex.XB
8:0x44 : 44                   	rex.R
8:0x45 : 45                   	rex.RB
8:0x46 : 46                   	rex.RX
8:0x47 : 47                   	rex.RXB
8:0x48 : 48                   	rex.W
8:0x49 : 49                   	rex.WB
8:0x4a : 4a                   	rex.WX
8:0x4b : 4b                   	rex.WXB
8:0x4c : 4c                   	rex.WR
8:0x4d : 4d                   	rex.WRB
8:0x4e : 4e                   	rex.WRX
8:0x4f : 4f                   	rex.WRXB
8:0x50 : 50                   	push   %rax
8:0x51 : 51                   	push   %rcx
8:0x52 : 52                   	push   %rdx
8:0x53 : 53                   	push   %rbx
8:0x54 : 54                   	push   %rsp
8:0x55 : 55                   	push   %rbp
8:0x56 : 56                   	push   %rsi
8:0x57 : 57                   	push   %rdi
8:0x58 : 58                   	pop    %rax
8:0x59 : 59                   	pop    %rcx
8:0x5a : 5a                   	pop    %rdx
8:0x5b : 5b                   	pop    %rbx
8:0x5c : 5c                   	pop    %rsp
8:0x5d : 5d                   	pop    %rbp
8:0x5e : 5e                   	pop    %rsi
8:0x5f : 5f                   	pop    %rdi
8:0x60 : 60                   	(bad)
8:0x61 : 61                   	(bad)
8:0x62 : 62                   	.byte 0x62
8:0x63 : 63                   	.byte 0x63
8:0x64 : 64                   	fs
8:0x65 : 65                   	gs
8:0x66 : 66                   	data16
8:0x67 : 67                   	addr32
8:0x68 : 68                   	.byte 0x68
8:0x69 : 69                   	.byte 0x69
8:0x6a : 6a 6a                	pushq  $0x6a
8:0x6b : 6b 6b 6b 6b          	imul   $0x6b,0x6b(%rbx),%ebp
8:0x6c : 6c                   	insb   (%dx),%es
8:0x6d : 6d                   	insl   (%dx),%es
8:0x6e : 6e                   	outsb  %ds
8:0x6f : 6f                   	outsl  %ds
8:0x70 : 70 70                	jo     4000f8 <_start+0x78>
8:0x71 : 71 71                	jno    4000f9 <_start+0x79>
8:0x72 : 72 72                	jb     4000fa <_start+0x7a>
8:0x73 : 73 73                	jae    4000fb <_start+0x7b>
8:0x74 : 74 74                	je     4000fc <_start+0x7c>
8:0x75 : 75 75                	jne    4000fd <_start+0x7d>
8:0x76 : 76 76                	jbe    4000fe <_start+0x7e>
8:0x77 : 77 77                	ja     4000ff <_start+0x7f>
8:0x78 : 78 78                	js     400100 <_start+0x80>
8:0x79 : 79 79                	jns    400101 <_start+0x81>
8:0x7a : 7a 7a                	jp     400102 <_start+0x82>
8:0x7b : 7b 7b                	jnp    400103 <_start+0x83>
8:0x7c : 7c 7c                	jl     400104 <_start+0x84>
8:0x7d : 7d 7d                	jge    400105 <_start+0x85>
8:0x7e : 7e 7e                	jle    400106 <_start+0x86>
8:0x7f : 7f 7f                	jg     400107 <_start+0x87>
8:0x80 : 80                   	.byte 0x80
8:0x81 : 81                   	.byte 0x81
8:0x82 : 82                   	.byte 0x82
8:0x83 : 83                   	.byte 0x83
8:0x84 : 84                   	.byte 0x84
8:0x85 : 85                   	.byte 0x85
8:0x86 : 86                   	.byte 0x86
8:0x87 : 87                   	.byte 0x87
8:0x88 : 88                   	.byte 0x88
8:0x89 : 89                   	.byte 0x89
8:0x8a : 8a                   	.byte 0x8a
8:0x8b : 8b                   	.byte 0x8b
8:0x8c : 8c                   	.byte 0x8c
8:0x8d : 8d                   	.byte 0x8d
8:0x8e : 8e                   	.byte 0x8e
8:0x8f : 8f                   	.byte 0x8f
8:0x90 : 90                   	nop
8:0x91 : 91                   	xchg   %eax,%ecx
8:0x92 : 92                   	xchg   %eax,%edx
8:0x93 : 93                   	xchg   %eax,%ebx
8:0x94 : 94                   	xchg   %eax,%esp
8:0x95 : 95                   	xchg   %eax,%ebp
8:0x96 : 96                   	xchg   %eax,%esi
8:0x97 : 97                   	xchg   %eax,%edi
8:0x98 : 98                   	cwtl
8:0x99 : 99                   	cltd
8:0x9a : 9a                   	(bad)
8:0x9b : 9b                   	fwait
8:0x9c : 9c                   	pushfq
8:0x9d : 9d                   	popfq
8:0x9e : 9e                   	sahf
8:0x9f : 9f                   	lahf
8:0xa0 : a0                   	.byte 0xa0
8:0xa1 : a1                   	.byte 0xa1
8:0xa2 : a2                   	.byte 0xa2
8:0xa3 : a3                   	.byte 0xa3
8:0xa4 : a4                   	movsb  %ds
8:0xa5 : a5                   	movsl  %ds
8:0xa6 : a6                   	cmpsb  %es
8:0xa7 : a7                   	cmpsl  %es
8:0xa8 : a8 a8                	test   $0xa8,%al
8:0xa9 : a9                   	.byte 0xa9
8:0xaa : aa                   	stos   %al,%es
8:0xab : ab                   	stos   %eax,%es
8:0xac : ac                   	lods   %ds
8:0xad : ad                   	lods   %ds
8:0xae : ae                   	scas   %es
8:0xaf : af                   	scas   %es
8:0xb0 : b0 b0                	mov    $0xb0,%al
